kind,id,path,bytes,sha256,detail,w,h,slice_l,slice_t,slice_r,slice_b,tint,source,notes,source_sha256,priority,status
"portrait","fire_swift","roblox/assets/minions/fire_swift/portrait512.png","128079","b4f3d559cc55421f0681504a2f4071fb82038f25ff3a45d1953bc337d093028b","byte-copy512","512","512","","","","","no","demo/assets/minions/fire_swift/portrait.png","P0-A;existing-approved-design;RGBA;no-redesign","b4f3d559cc55421f0681504a2f4071fb82038f25ff3a45d1953bc337d093028b","P0-A","delivered"
"battle","grass_atk","roblox/assets/minions/grass_atk/battle256.png","5304","b7062ae0f74504f79709c5bc76c1c34e0e3a60c0c49f2d281fb7a33afd614224","nearest4x(grid64)","256","256","","","","","no","demo/assets/minions/grass_atk/battle-grid.png","P0-A;existing-approved-design;RGBA-before-nearest;no-redesign","6868e7693b8575ffc50e71347bf9474c6b31021c013cc197ced9346abbaf3a91","P0-A","delivered"
"icon","grass_atk","roblox/assets/minions/grass_atk/icon64.png","1178","7927af05946200982f090c052eb3dc82d2304904bd740493aa39b18750e9aa6c","nearest2x(native32)","64","64","","","","","no","demo/assets/minions/grass_atk/icon.png","P0-A;existing-approved-design;RGBA;no-redesign","1a51f5bd39e1f25cc0fdcd90a9316a43c3f892f4610ecc9f79833015bfaa091e","P0-A","delivered"
"portrait","grass_atk","roblox/assets/minions/grass_atk/portrait512.png","234758","67bfa9728bdb4174fcfaae62519187324ccab7e5ddd4599f9e9e90067c6b9436","byte-copy512","512","512","","","","","no","demo/assets/minions/grass_atk/portrait.png","P0-A;existing-approved-design;RGBA;no-redesign","67bfa9728bdb4174fcfaae62519187324ccab7e5ddd4599f9e9e90067c6b9436","P0-A","delivered"
"battle","grass_def","roblox/assets/minions/grass_def/battle256.png","6592","4a7abc70bef43d452269af8000f3231196af17dd25986b99e5519c182d4530ff","nearest4x(grid64)","256","256","","","","","no","demo/assets/minions/grass_def/battle-grid.png","P0-A;existing-approved-design;RGBA-before-nearest;no-redesign","fc22b4aca7015081569ccd3677a1644f2badf53a0ff45d16291d4760094e4869","P0-A","delivered"
"icon","grass_def","roblox/assets/minions/grass_def/icon64.png","1248","6ebfc4a5249d17cf0ed15abd1b4bc3ccfd3cd3111eb2da2b866c9a016380f931","nearest2x(native32)","64","64","","","","","no","demo/assets/minions/grass_def/icon.png","P0-A;existing-approved-design;RGBA;no-redesign","674bf6ef3f1facb7e0ab232a2c4000e8cfe93cb06f470171da067687344b0646","P0-A","delivered"
"portrait","grass_def","roblox/assets/minions/grass_def/portrait512.png","321979","76f071af551b4b203f6a14b3c59445a25ad82ba5f792f90e9ef073dd0baf9d97","byte-copy512","512","512","","","","","no","demo/assets/minions/grass_def/portrait.png","P0-A;existing-approved-design;RGBA;no-redesign","76f071af551b4b203f6a14b3c59445a25ad82ba5f792f90e9ef073dd0baf9d97","P0-A","delivered"
"battle","grass_std","roblox/assets/minions/grass_std/battle256.png","5703","b3d6ad3d667083e63b207146439ee8bfc5422fea64fee853575e29f2ab423d87","nearest4x(grid64)","256","256","","","","","no","demo/assets/minions/grass_std/battle-grid.png","P0-A;existing-approved-design;RGBA-before-nearest;no-redesign","2c060586b9af4b21e1887a6b7c196235f7b786a03b45c8ef97364f1b12df7eaf","P0-A","delivered"
"icon","grass_std","roblox/assets/minions/grass_std/icon64.png","1081","d8a52a10285dde98a7241ee35396204d986c4252ea2d6e4e638868417060965c","nearest2x(native32)","64","64","","","","","no","demo/assets/minions/grass_std/icon.png","P0-A;existing-approved-design;RGBA;no-redesign","69f8747354cdbbf3b4834313336cf147ff37accb7b02850735a8b00619e5c3e3","P0-A","delivered"
"portrait","grass_std","roblox/assets/minions/grass_std/portrait512.png","187598","bc6842518b07237dcbd3489bda078d3a9931d7bdc663fa886ae27335dc39bf42","byte-copy512","512","512","","","","","no","demo/assets/minions/grass_std/portrait.png","P0-A;existing-approved-design;RGBA;no-redesign","bc6842518b07237dcbd3489bda078d3a9931d7bdc663fa886ae27335dc39bf42","P0-A","delivered"
"battle","grass_sustain","roblox/assets/minions/grass_sustain/battle256.png","4392","363b16124cbff181b4fa1c99c3eba6c6f92f4c6c86c2a01a532402b9858b6f66","nearest4x(grid64)","256","256","","","","","no","demo/assets/minions/grass_sustain/battle-grid.png","P0-A;existing-approved-design;RGBA-before-nearest;no-redesign","16a31efa18a5c40b818304fd5e942d0c4ddb9be861b5311fe8612e1f3081a9be","P0-A","delivered"
"icon","grass_sustain","roblox/assets/minions/grass_sustain/icon64.png","1035","9c2d9a222ebc022b53327be948cc6c58968ac7d0573283a07d04f8ca4757c79b","nearest2x(native32)","64","64","","","","","no","demo/assets/minions/grass_sustain/icon.png","P0-A;existing-approved-design;RGBA;no-redesign","10c902466d2c7788e5f8eb8b731571a23b15b9b620336184f968735fd9a470eb","P0-A","delivered"
"portrait","grass_sustain","roblox/assets/minions/grass_sustain/portrait512.png","208716","5a3d6404bf6e920b626e5bc71c68c65fb4921469a2c2c906f779092eeefee61d","byte-copy512","512","512","","","","","no","demo/assets/minions/grass_sustain/portrait.png","P0-A;existing-approved-design;RGBA;no-redesign","5a3d6404bf6e920b626e5bc71c68c65fb4921469a2c2c906f779092eeefee61d","P0-A","delivered"
"battle","grass_swift","roblox/assets/minions/grass_swift/battle256.png","5324","709712d1efee348db1dfe5804215ae13e009a941a55b786821258e34be6a30b0","nearest4x(grid64)","256","256","","","","","no","demo/assets/minions/grass_swift/battle-grid.png","P0-A;existing-approved-design;RGBA-before-nearest;no-redesign","fcfe52f27863096cd3728012c4b6e28465a78570934b377757efe77f4d2c6ab7","P0-A","delivered"
"icon","grass_swift","roblox/assets/minions/grass_swift/icon64.png","1048","9dd3369a2e690f4580f6c76b0a0822dcc603ba975014c44eca5de7571fdb29ef","nearest2x(native32)","64","64","","","","","no","demo/assets/minions/grass_swift/icon.png","P0-A;existing-approved-design;RGBA;no-redesign","2a577f825bf17ade1b6a63db2a805f35cae3f61b12ec72a1294b48d4839c0820","P0-A","delivered"
"portrait","grass_swift","roblox/assets/minions/grass_swift/portrait512.png","213010","71ed6bb123e751b382fbb65696302c51caa97811f1a3f524709f6794022a853a","byte-copy512","512","512","","","","","no","demo/assets/minions/grass_swift/portrait.png","P0-A;existing-approved-design;RGBA;no-redesign","71ed6bb123e751b382fbb65696302c51caa97811f1a3f524709f6794022a853a","P0-A","delivered"
"battle","lightning_atk","roblox/assets/minions/lightning_atk/battle256.png","5873","43dc438a5213fe5e33461004f2e15165c58a05206cb7e2acf565344bb6740875","nearest4x(grid64)","256","256","","","","","no","demo/assets/minions/lightning_atk/battle-grid.png","P0-A;existing-approved-design;RGBA-before-nearest;no-redesign","4d46db21c58a7b0292037805cd7af76ff54d1246f558363c3402015510cb45bd","P0-A","delivered"
"icon","lightning_atk","roblox/assets/minions/lightning_atk/icon64.png","1138","13c2847fd96cd51825bf410860ca19eee902bd6d85d1f0473ab29ac6efe10130","nearest2x(native32)","64","64","","","","","no","demo/assets/minions/lightning_atk/icon.png","P0-A;existing-approved-design;RGBA;no-redesign","63d4b701c7648e12711f496ca52d47847244e3488848636e97198f7b23b23dde","P0-A","delivered"
"portrait","lightning_atk","roblox/assets/minions/lightning_atk/portrait512.png","161764","85d6d69ec76da1e5699db15103814455f12005b4e818cbba1bf981052a373dc0","byte-copy512","512","512","","","","","no","demo/assets/minions/lightning_atk/portrait.png","P0-A;existing-approved-design;RGBA;no-redesign","85d6d69ec76da1e5699db15103814455f12005b4e818cbba1bf981052a373dc0","P0-A","delivered"
"battle","lightning_def","roblox/assets/minions/lightning_def/battle256.png","6620","7d4b6fa0703219a1d7da73811a77d54ba00ca7ad47658517c253f36136b54de4","nearest4x(grid64)","256","256","","","","","no","demo/assets/minions/lightning_def/battle-grid.png","P0-A;existing-approved-design;RGBA-before-nearest;no-redesign","6ff96611457bde42ac768afd4fefeff27ceb163947dd9a87055bfe6126f465d4","P0-A","delivered"
"icon","lightning_def","roblox/assets/minions/lightning_def/icon64.png","1169","abc915e5f0195d663337c90ab7f311f9897369a9215c66b344cbb2d682f1bfbe","nearest2x(native32)","64","64","","","","","no","demo/assets/minions/lightning_def/icon.png","P0-A;existing-approved-design;RGBA;no-redesign","05751cadde005fb4537e4299fa2be3c74feadc1e089199ff5725295b5204f315","P0-A","delivered"
"portrait","lightning_def","roblox/assets/minions/lightning_def/portrait512.png","260075","f2d10ee5435ab74be0206085fa74c6c877ed4147c3778904a1d5a7d404a07078","byte-copy512","512","512","","","","","no","demo/assets/minions/lightning_def/portrait.png","P0-A;existing-approved-design;RGBA;no-redesign","f2d10ee5435ab74be0206085fa74c6c877ed4147c3778904a1d5a7d404a07078","P0-A","delivered"
"battle","lightning_std","roblox/assets/minions/lightning_std/battle256.png","6070","d9dd0894d2c34bdb3a80984861b42ac5eadaff45f1988d66c54df7eff65941dd","nearest4x(grid64)","256","256","","","","","no","demo/assets/minions/lightning_std/battle-grid.png","P0-A;existing-approved-design;RGBA-before-nearest;no-redesign","8a573a45badd0cfdd9335711d06c79839804afcd53243803428a76406f434c76","P0-A","delivered"
"icon","lightning_std","roblox/assets/minions/lightning_std/icon64.png","1066","d2495fb020fe5b51d5dbc788320ee7d7ab92ee438a1fcfa3e93403cd1fb97bd8","nearest2x(native32)","64","64","","","","","no","demo/assets/minions/lightning_std/icon.png","P0-A;existing-approved-design;RGBA;no-redesign","f6f2447340dcbe2ded2f5e99b6862a172ab0cdb31b3e9b396a37303d99ff63e8","P0-A","delivered"
"portrait","lightning_std","roblox/assets/minions/lightning_std/portrait512.png","191993","fe03a36acb199753a15d157f8eb14144aea538ab84f75be944782d739a787bcb","byte-copy512","512","512","","","","","no","demo/assets/minions/lightning_std/portrait.png","P0-A;existing-approved-design;RGBA;no-redesign","fe03a36acb199753a15d157f8eb14144aea538ab84f75be944782d739a787bcb","P0-A","delivered"
"battle","lightning_sustain","roblox/assets/minions/lightning_sustain/battle256.png","5390","97902ed0ad8f0cd557156d892a4d6e3c0abb7653b6d5a94e4af08de9f28a1be0","nearest4x(grid64)","256","256","","","","","no","demo/assets/minions/lightning_sustain/battle-grid.png","P0-A;existing-approved-design;RGBA-before-nearest;no-redesign","30db0f57df7f807851f5b5b75641d32a320717f6414b5ef0e36157faf88ef5a5","P0-A","delivered"
"icon","lightning_sustain","roblox/assets/minions/lightning_sustain/icon64.png","1049","f27e4e2b79b46a6fa4728cd5c541f284a9a94e30b6854ad4c5cb8d63f21c3074","nearest2x(native32)","64","64","","","","","no","demo/assets/minions/lightning_sustain/icon.png","P0-A;existing-approved-design;RGBA;no-redesign","c844f69522aeda26c15b5c08ebfcf868c293558f2092ea3dfd26ca9253b8d0f0","P0-A","delivered"
"portrait","lightning_sustain","roblox/assets/minions/lightning_sustain/portrait512.png","156870","18552a65dd1c514b897b4df6b90327fa920746de283057d9e6a253f0dd265851","byte-copy512","512","512","","","","","no","demo/assets/minions/lightning_sustain/portrait.png","P0-A;existing-approved-design;RGBA;no-redesign","18552a65dd1c514b897b4df6b90327fa920746de283057d9e6a253f0dd265851","P0-A","delivered"
"battle","lightning_swift","roblox/assets/minions/lightning_swift/battle256.png","6334","0f51d8f629a4eac38d17ddfaf9dcf658a433ac3535f8b0457d952cbb8e1a9a1a","nearest4x(grid64)","256","256","","","","","no","demo/assets/minions/lightning_swift/battle-grid.png","P0-A;existing-approved-design;RGBA-before-nearest;no-redesign","30b6c881d6b3ef0022453dc110954008f0337f986a9fbffab3559d9a7150677c","P0-A","delivered"
"icon","lightning_swift","roblox/assets/minions/lightning_swift/icon64.png","1019","52063097a24b2b15b6304693954cc26a1dcac6bd5e93c86759b4753ddd0c9a60","nearest2x(native32)","64","64","","","","","no","demo/assets/minions/lightning_swift/icon.png","P0-A;existing-approved-design;RGBA;no-redesign","054e3d53817c9c2f6fcce61cd223bbc4ed3dda75b7d82c4cac4c6137fc57ae7a","P0-A","delivered"
"portrait","lightning_swift","roblox/assets/minions/lightning_swift/portrait512.png","180149","9cb3039b37fbd264d7cb16583d3fff7afdf4ccb492e2024c1dcf600182197b7b","byte-copy512","512","512","","","","","no","demo/assets/minions/lightning_swift/portrait.png","P0-A;existing-approved-design;RGBA;no-redesign","9cb3039b37fbd264d7cb16583d3fff7afdf4ccb492e2024c1dcf600182197b7b","P0-A","delivered"
"battle","water_atk","roblox/assets/minions/water_atk/battle256.png","5791","f034be3c71a27e1603a2e56c39a28b64e4cb17302dbe8d761003cf4cb0038a2f","nearest4x(grid64)","256","256","","","","","no","demo/assets/minions/water_atk/battle-grid.png","P0-A;existing-approved-design;RGBA-before-nearest;no-redesign","933970cd6d301310d664c38614efc9036cb38854125a734bb410b8da409702a6","P0-A","delivered"
"icon","water_atk","roblox/assets/minions/water_atk/icon64.png","1002","7c3b48b80e480c4cbab009cd707bf260056f1f10a96b7dbd28d8003c7eb58676","nearest2x(native32)","64","64","","","","","no","demo/assets/minions/water_atk/icon.png","P0-A;existing-approved-design;RGBA;no-redesign","3fe7b7693704f826fbd84523d6cdad7f40acc715e718e122e10140526befc5b7","P0-A","delivered"
"portrait","water_atk","roblox/assets/minions/water_atk/portrait512.png","221733","84b414f71f6988e2b9fea72e006e8832f41009719f0d257ca95265d8e87f6fcf","byte-copy512","512","512","","","","","no","demo/assets/minions/water_atk/portrait.png","P0-A;existing-approved-design;RGBA;no-redesign","84b414f71f6988e2b9fea72e006e8832f41009719f0d257ca95265d8e87f6fcf","P0-A","delivered"
"battle","water_def","roblox/assets/minions/water_def/battle256.png","6243","431f48eecd62d033dbb7a8c10ffe8634a9e68b0c88f459c8476e1dbf1e353185","nearest4x(grid64)","256","256","","","","","no","demo/assets/minions/water_def/battle-grid.png","P0-A;existing-approved-design;RGBA-before-nearest;no-redesign","5cb9578819b09d91ec9ab1b5ba4e904f885aff5411f25170ecbc222d9b495d89","P0-A","delivered"
"icon","water_def","roblox/assets/minions/water_def/icon64.png","1010","fc47754b6311a0748a225eb0137174445d9409e7d3677190de409174bf494cfe","nearest2x(native32)","64","64","","","","","no","demo/assets/minions/water_def/icon.png","P0-A;existing-approved-design;RGBA;no-redesign","cd682b263a7165cefb1ac0bfc4fdcb85604d62fb6715abde26665a06f2157de8","P0-A","delivered"
"portrait","water_def","roblox/assets/minions/water_def/portrait512.png","273432","56b72aaa27e5d6382775435f026ace4d6cb683b4e9abbcabd3e857df8437b79d","byte-copy512","512","512","","","","","no","demo/assets/minions/water_def/portrait.png","P0-A;existing-approved-design;RGBA;no-redesign","56b72aaa27e5d6382775435f026ace4d6cb683b4e9abbcabd3e857df8437b79d","P0-A","delivered"
"battle","water_std","roblox/assets/minions/water_std/battle256.png","4649","631ec367bfaaf9bf4900347e23391daf5179970eac1129c4da6da4edba6a20f1","nearest4x(grid64)","256","256","","","","","no","demo/assets/minions/water_std/battle-grid.png","P0-A;existing-approved-design;RGBA-before-nearest;no-redesign","072c55207a19cea5d360c86122d2e786e2f9ae34d350482ff40ab6d212532ed7","P0-A","delivered"
"icon","water_std","roblox/assets/minions/water_std/icon64.png","944","52e92e76ce800594de31a9885f396436373331521956f38fbfc8feb77fb16fc5","nearest2x(native32)","64","64","","","","","no","demo/assets/minions/water_std/icon.png","P0-A;existing-approved-design;RGBA;no-redesign","7e95ab2cbd796ad1b7648ec221f1504dbf1408bed07e59a03a92319064555020","P0-A","delivered"
"portrait","water_std","roblox/assets/minions/water_std/portrait512.png","165625","28f37ee5de71e5e934258b6d35650a294f1cbdfc9ed9cc27e72339146924d702","byte-copy512","512","512","","","","","no","demo/assets/minions/water_std/portrait.png","P0-A;existing-approved-design;RGBA;no-redesign","28f37ee5de71e5e934258b6d35650a294f1cbdfc9ed9cc27e72339146924d702","P0-A","delivered"
"battle","water_sustain","roblox/assets/minions/water_sustain/battle256.png","5362","204fee587672f51a84ba9860eeaac67eb06a391f7c58e4ef84207b8c4bab5a76","nearest4x(grid64)","256","256","","","","","no","demo/assets/minions/water_sustain/battle-grid.png","P0-A;existing-approved-design;RGBA-before-nearest;no-redesign","c17ec2b82b536b9473a0f2c878a4e9495736a0ed1ac367af667d712ae24eeb8a","P0-A","delivered"
"icon","water_sustain","roblox/assets/minions/water_sustain/icon64.png","1011","6d7db7d0c2b72c96ef6c06dc471812327e9414aa8f560b7b62a8b5c80bc01dbc","nearest2x(native32)","64","64","","","","","no","demo/assets/minions/water_sustain/icon.png","P0-A;existing-approved-design;RGBA;no-redesign","99ee754eb25e64df43f92b1be5f6889e4a9847de0afa7ced2db1c33a3671f236","P0-A","delivered"
"portrait","water_sustain","roblox/assets/minions/water_sustain/portrait512.png","239930","aed064a3e45b6465c4e3446e1f01d6abf99361d218895c6108ff02834d609d41","byte-copy512","512","512","","","","","no","demo/assets/minions/water_sustain/portrait.png","P0-A;existing-approved-design;RGBA;no-redesign","aed064a3e45b6465c4e3446e1f01d6abf99361d218895c6108ff02834d609d41","P0-A","delivered"
"battle","water_swift","roblox/assets/minions/water_swift/battle256.png","5530","596252252abf4242cb2278a4c872f3c47420ba182da0d0ea37ee44a10897e190","nearest4x(grid64)","256","256","","","","","no","demo/assets/minions/water_swift/battle-grid.png","P0-A;existing-approved-design;RGBA-before-nearest;no-redesign","abcba704371d0cc7b9060c0f57f15f5c75d90c44436751b14668e5ba3fce9337","P0-A","delivered"
"icon","water_swift","roblox/assets/minions/water_swift/icon64.png","991","9b9f9f8614e66839f238e572e4d4b8e285f286d82feeabcaf65750f0ab2f679c","nearest2x(native32)","64","64","","","","","no","demo/assets/minions/water_swift/icon.png","P0-A;existing-approved-design;RGBA;no-redesign","c2436b71fc00ba37d367de3e861c71f77e25bc4a6b8e3510be7507a7af8477e8","P0-A","delivered"
"portrait","water_swift","roblox/assets/minions/water_swift/portrait512.png","164920","491d20296d5440c2be732b12743e8acb0c97aedf994c0825a5ea2e653f8439f3","byte-copy512","512","512","","","","","no","demo/assets/minions/water_swift/portrait.png","P0-A;existing-approved-design;RGBA;no-redesign","491d20296d5440c2be732b12743e8acb0c97aedf994c0825a5ea2e653f8439f3","P0-A","delivered"
